bing	bing	Precision@1: 1.0	Precision@5: 1.0	Precision@10: 0.6		Recall@1: 0.16666666666666666	Recall@5: 0.8333333333333334	Recall@10: 1.0		F0.5@1: 0.2857142857142857	F0.5@5: 0.9090909090909091	F0.5@10: 0.7499999999999999		Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 1.0	Percision@Recall5: 1.0	Percision@Recall6: 1.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 1.0	bing	NDCG@1: 1.0	NDCG@5: 0.9942444601403009	NDCG@10: 0.9944275745073571		Recoprocal: 1.0
data mining	data mining	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.7		Recall@1: 0.14285714285714285	Recall@5: 0.5714285714285714	Recall@10: 1.0		F0.5@1: 0.25	F0.5@5: 0.6666666666666666	F0.5@10: 0.8235294117647058		Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 1.0	Percision@Recall5: 0.8571428571428571	Percision@Recall6: 0.8571428571428571	Percision@Recall7: 0.7	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.9129251700680271	data mining	NDCG@1: 1.0	NDCG@5: 1.0	NDCG@10: 0.9898388442212864		Recoprocal: 1.0
google	google	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.4		Recall@1: 0.25	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: 0.4	F0.5@5: 0.888888888888889	F0.5@10: 0.5714285714285715		Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 1.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 1.0	google	NDCG@1: 1.0	NDCG@5: 1.0	NDCG@10: 1.0		Recoprocal: 1.0
salsa	salsa	Precision@1: 1.0	Precision@5: 0.2	Precision@10: 0.1		Recall@1: 1.0	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: 1.0	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182		Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 1.0	salsa	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
web search	web search	Precision@1: 0.0	Precision@5: 0.4	Precision@10: 0.4		Recall@1: 0.0	Recall@5: 0.5	Recall@10: 1.0		F0.5@1: NaN	F0.5@5: 0.4444444444444445	F0.5@10: 0.5714285714285715		Percision@Recall0: 0.5	Percision@Recall1: 0.5	Percision@Recall2: 0.5	Percision@Recall3: 0.5	Percision@Recall4: 0.5	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.48214285714285715	web search	NDCG@1: 0.0	NDCG@5: 0.5308031558224252	NDCG@10: 0.5308382040632917		Recoprocal: 0.5
