bing	Precision@1: 1.0	Precision@5: 0.2	Precision@10: 0.1	Recall@1: 1.0	Recall@5: 1.0	Recall@10: 1.0	F0.5@1: 1.0	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 1.0	NDCG@1: 1.0	NDCG@5: 1.0	NDCG@10: 1.0	Recoprocal: 1.0
data mining	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.8	Recall@1: 0.125	Recall@5: 0.5	Recall@10: 1.0	F0.5@1: 0.2222222222222222	F0.5@5: 0.6153846153846154	F0.5@10: 0.888888888888889	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 0.8333333333333334	Percision@Recall3: 0.8333333333333334	Percision@Recall4: 0.8333333333333334	Percision@Recall5: 0.8333333333333334	Percision@Recall6: 0.8	Percision@Recall7: 0.8	Percision@Recall8: 0.8	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.7972222222222222	NDCG@1: 1.0	NDCG@5: 0.8809052980048222	NDCG@10: 0.8588677642321312	Recoprocal: 1.0
google	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.4	Recall@1: 0.25	Recall@5: 1.0	Recall@10: 1.0	F0.5@1: 0.4	F0.5@5: 0.888888888888889	F0.5@10: 0.5714285714285715	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 1.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 1.0	NDCG@1: 1.0	NDCG@5: 0.9864035756046805	NDCG@10: 0.9860364391752939	Recoprocal: 1.0
salsa	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0	Recall@1: 0.0	Recall@5: 0.0	Recall@10: 0.0	F0.5@1: 0.0	F0.5@5: 0.0	F0.5@10: 0.0	Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.0	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0	Recoprocal: no relevant judgement found
web search	Precision@1: 1.0	Precision@5: 1.0	Precision@10: 0.6	Recall@1: 0.16666666666666666	Recall@5: 0.8333333333333334	Recall@10: 1.0	F0.5@1: 0.2857142857142857	F0.5@5: 0.9090909090909091	F0.5@10: 0.7499999999999999	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 1.0	Percision@Recall5: 1.0	Percision@Recall6: 1.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 1.0	NDCG@1: 1.0	NDCG@5: 0.966050480288415	NDCG@10: 0.9354127249120222	Recoprocal: 1.0
