bing	bing	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	bing	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
data mining	data mining	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	data mining	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
google	google	Precision@1: 0.0	Precision@5: 0.2	Precision@10: 0.1		Recall@1: 0.0	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: NaN	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182		Percision@Recall0: 0.3333333333333333	Percision@Recall1: 0.3333333333333333	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.3333333333333333	google	NDCG@1: 0.0	NDCG@5: 0.5	NDCG@10: 0.3715299971712819		Recoprocal: 0.3333333333333333
salsa	salsa	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	salsa	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
web search	web search	Precision@1: 0.0	Precision@5: 0.2	Precision@10: 0.1		Recall@1: 0.0	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: NaN	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182		Percision@Recall0: 0.3333333333333333	Percision@Recall1: 0.3333333333333333	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.3333333333333333	web search	NDCG@1: 0.0	NDCG@5: 0.5	NDCG@10: 0.3715299971712819		Recoprocal: 0.3333333333333333
bing	bing	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	bing	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
data mining	data mining	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	data mining	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
google	google	Precision@1: 0.0	Precision@5: 0.2	Precision@10: 0.1		Recall@1: 0.0	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: NaN	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182		Percision@Recall0: 0.3333333333333333	Percision@Recall1: 0.3333333333333333	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.3333333333333333	google	NDCG@1: 0.0	NDCG@5: 0.5	NDCG@10: 0.3715299971712819		Recoprocal: 0.3333333333333333
salsa	salsa	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0		Recall@1: NaN	Recall@5: NaN	Recall@10: NaN		F0.5@1: NaN	F0.5@5: NaN	F0.5@10: NaN		Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: NaN	salsa	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0		Recoprocal: no relevant judgement found
web search	web search	Precision@1: 0.0	Precision@5: 0.2	Precision@10: 0.1		Recall@1: 0.0	Recall@5: 1.0	Recall@10: 1.0		F0.5@1: NaN	F0.5@5: 0.33333333333333337	F0.5@10: 0.18181818181818182		Percision@Recall0: 0.3333333333333333	Percision@Recall1: 0.3333333333333333	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0		AveragePrecision: 0.3333333333333333	web search	NDCG@1: 0.0	NDCG@5: 0.5	NDCG@10: 0.3715299971712819		Recoprocal: 0.3333333333333333
