bing	Precision@1: 1.0	Precision@5: 0.6	Precision@10: 0.4	Recall@1: 0.25	Recall@5: 0.75	Recall@10: 1.0	F0.5@1: 0.4	F0.5@5: 0.6666666666666665	F0.5@10: 0.5714285714285715	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 0.4	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.85	NDCG@1: 1.0	NDCG@5: 1.0	NDCG@10: 0.9900686442380118	Recoprocal: 1.0
data mining	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.8	Recall@1: 0.125	Recall@5: 0.5	Recall@10: 1.0	F0.5@1: 0.2222222222222222	F0.5@5: 0.6153846153846154	F0.5@10: 0.888888888888889	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 0.8333333333333334	Percision@Recall4: 0.8333333333333334	Percision@Recall5: 0.8333333333333334	Percision@Recall6: 0.8	Percision@Recall7: 0.8	Percision@Recall8: 0.8	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.8388888888888888	NDCG@1: 1.0	NDCG@5: 0.9682314150231828	NDCG@10: 0.9598389934043379	Recoprocal: 1.0
google	Precision@1: 1.0	Precision@5: 0.8	Precision@10: 0.4	Recall@1: 0.25	Recall@5: 1.0	Recall@10: 1.0	F0.5@1: 0.4	F0.5@5: 0.888888888888889	F0.5@10: 0.5714285714285715	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 1.0	Percision@Recall3: 1.0	Percision@Recall4: 0.8	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.95	NDCG@1: 1.0	NDCG@5: 0.8764726665578166	NDCG@10: 0.8275402051181239	Recoprocal: 1.0
salsa	Precision@1: 0.0	Precision@5: 0.0	Precision@10: 0.0	Recall@1: 0.0	Recall@5: 0.0	Recall@10: 0.0	F0.5@1: 0.0	F0.5@5: 0.0	F0.5@10: 0.0	Percision@Recall0: 0.0	Percision@Recall1: 0.0	Percision@Recall2: 0.0	Percision@Recall3: 0.0	Percision@Recall4: 0.0	Percision@Recall5: 0.0	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.0	NDCG@1: 0.0	NDCG@5: 0.0	NDCG@10: 0.0	Recoprocal: no relevant judgement found
web search	Precision@1: 1.0	Precision@5: 0.6	Precision@10: 0.5	Recall@1: 0.2	Recall@5: 0.6	Recall@10: 1.0	F0.5@1: 0.33333333333333337	F0.5@5: 0.6	F0.5@10: 0.6666666666666666	Percision@Recall0: 1.0	Percision@Recall1: 1.0	Percision@Recall2: 0.6666666666666666	Percision@Recall3: 0.6	Percision@Recall4: 0.5714285714285714	Percision@Recall5: 0.5	Percision@Recall6: 0.0	Percision@Recall7: 0.0	Percision@Recall8: 0.0	Percision@Recall9: 0.0	Percision@Recall10: 0.0	AveragePrecision: 0.6676190476190476	NDCG@1: 1.0	NDCG@5: 0.8742322908328204	NDCG@10: 0.8312714513755511	Recoprocal: 1.0
